Epoch,loss,accuracy,val_loss,val_accuracy,time,optimization,batch_size,learning_rate,VGG
1,2.641810178756714,0.1011428534984588,2.318131446838379,0.0993750020861625,110.64575457572936,Adam,16,0.05,1
2,2.312222957611084,0.1012380942702293,2.311465263366699,0.1026249974966049,110.64575457572936,Adam,16,0.05,1
3,2.3119125366210938,0.0982142835855484,2.30731201171875,0.0993750020861625,110.64575457572936,Adam,16,0.05,1
4,2.312351703643799,0.0989047586917877,2.3120675086975098,0.09825000166893,110.64575457572936,Adam,16,0.05,1
5,2.3120832443237305,0.1007619053125381,2.314162254333496,0.1012500002980232,110.64575457572936,Adam,16,0.05,1
6,2.3127806186676025,0.0982857123017311,2.317090511322021,0.0993750020861625,110.64575457572936,Adam,16,0.05,1
7,2.3124334812164307,0.0970714315772056,2.3082592487335205,0.1012500002980232,110.64575457572936,Adam,16,0.05,1
8,2.312044858932495,0.0989047586917877,2.312605142593384,0.1018749997019767,110.64575457572936,Adam,16,0.05,1
1,2.801966667175293,0.0989523828029632,2.3032262325286865,0.1018749997019767,76.07167410850525,Adam,16,0.025,1
2,2.3071818351745605,0.1008809506893158,2.308708906173706,0.0993750020861625,76.07167410850525,Adam,16,0.025,1
3,2.306966543197632,0.1002380922436714,2.307271718978882,0.0993750020861625,76.07167410850525,Adam,16,0.025,1
4,2.307455062866211,0.0980714261531829,2.313365936279297,0.098750002682209,76.07167410850525,Adam,16,0.025,1
5,2.307344675064087,0.0966190472245216,2.303591012954712,0.1028750017285347,76.07167410850525,Adam,16,0.025,1
6,2.307612180709839,0.0958571434020996,2.309284210205078,0.1018749997019767,76.07167410850525,Adam,16,0.025,1
1,2.33969521522522,0.0996428579092025,2.303763628005981,0.09825000166893,179.99542331695557,Adam,16,0.005,1
2,2.303454160690308,0.0999285727739334,2.3041539192199707,0.1012500002980232,179.99542331695557,Adam,16,0.005,1
3,2.3037891387939453,0.0990714281797409,2.30372166633606,0.0976250022649765,179.99542331695557,Adam,16,0.005,1
4,2.303741693496704,0.0989047586917877,2.3035123348236084,0.0981250032782554,179.99542331695557,Adam,16,0.005,1
5,2.3037188053131104,0.1001666635274887,2.303452730178833,0.0981250032782554,179.99542331695557,Adam,16,0.005,1
